study	DOI	QTL.type	cell_type_name	cell_state	study_abbr
Bryois2022NN	10.1038/s41593-022-01128-z	Cell-type-specific eQTL	Astrocytes	-	Bryois-2022-Nat. Neurosci
Bryois2022NN	10.1038/s41593-022-01128-z	Cell-type-specific eQTL	Endothelial Cell (Endo)	-	Bryois-2022-Nat. Neurosci
Bryois2022NN	10.1038/s41593-022-01128-z	Cell-type-specific eQTL	Excitatory Neurons	-	Bryois-2022-Nat. Neurosci
Bryois2022NN	10.1038/s41593-022-01128-z	Cell-type-specific eQTL	Inhibitory Neurons	-	Bryois-2022-Nat. Neurosci
Bryois2022NN	10.1038/s41593-022-01128-z	Cell-type-specific eQTL	Microglia (Micro)	-	Bryois-2022-Nat. Neurosci
Bryois2022NN	10.1038/s41593-022-01128-z	Cell-type-specific eQTL	Oligodendrocytes	-	Bryois-2022-Nat. Neurosci
Bryois2022NN	10.1038/s41593-022-01128-z	Cell-type-specific eQTL	Oligodendrocyte Precursor Cell (OPC)	-	Bryois-2022-Nat. Neurosci
Bryois2022NN	10.1038/s41593-022-01128-z	Cell-type-specific eQTL	Pericyte	-	Bryois-2022-Nat. Neurosci
Jerber2021NG	10.1038/s41588-021-00801-6	Cell-type-specific eQTL	Floor Plate Progenitors	Cell Proliferation On Day 11	Jerber-2021-Nat. Genet
Jerber2021NG	10.1038/s41588-021-00801-6	Cell-type-specific eQTL	Proliferating Floor Plate Progenitors	Cell Proliferation On Day 11	Jerber-2021-Nat. Genet
Jerber2021NG	10.1038/s41588-021-00801-6	Cell-type-specific eQTL	Dopaminergic Neurons	Cell Proliferation On Day 30	Jerber-2021-Nat. Genet
Jerber2021NG	10.1038/s41588-021-00801-6	Cell-type-specific eQTL	Ependymal-like 1	Cell Proliferation On Day 30	Jerber-2021-Nat. Genet
Jerber2021NG	10.1038/s41588-021-00801-6	Cell-type-specific eQTL	Proliferating Floor Plate Progenitors	Cell Proliferation On Day 30	Jerber-2021-Nat. Genet
Jerber2021NG	10.1038/s41588-021-00801-6	Cell-type-specific eQTL	Serotonergic-like Neurons	Cell Proliferation On Day 30	Jerber-2021-Nat. Genet
Jerber2021NG	10.1038/s41588-021-00801-6	Response eQTL	Astrocyte-like Cells	Cell Proliferation On Day 52; Treated With Rotenone	Jerber-2021-Nat. Genet
Jerber2021NG	10.1038/s41588-021-00801-6	Cell-type-specific eQTL	Astrocyte-like Cells	Cell Proliferation On Day 52	Jerber-2021-Nat. Genet
Jerber2021NG	10.1038/s41588-021-00801-6	Response eQTL	Dopaminergic Neurons	Cell Proliferation On Day 52; Treated With Rotenone	Jerber-2021-Nat. Genet
Jerber2021NG	10.1038/s41588-021-00801-6	Cell-type-specific eQTL	Dopaminergic Neurons	Cell Proliferation On Day 52	Jerber-2021-Nat. Genet
Jerber2021NG	10.1038/s41588-021-00801-6	Response eQTL	Ependymal-like 1	Cell Proliferation On Day 52; Treated With Rotenone	Jerber-2021-Nat. Genet
Jerber2021NG	10.1038/s41588-021-00801-6	Cell-type-specific eQTL	Ependymal-like 1	Cell Proliferation On Day 52	Jerber-2021-Nat. Genet
Jerber2021NG	10.1038/s41588-021-00801-6	Response eQTL	Serotonergic-like Neurons	Cell Proliferation On Day 52; Treated With Rotenone	Jerber-2021-Nat. Genet
Jerber2021NG	10.1038/s41588-021-00801-6	Cell-type-specific eQTL	Serotonergic-like Neurons	Cell Proliferation On Day 52	Jerber-2021-Nat. Genet
Nathan2022Nature	10.1038/s41586-022-04713-1	Cell-type-specific eQTL	T Cell	-	Nathan-2022-Nature
Nathan2022Nature	10.1038/s41586-022-04713-1	Cell-type-specific eQTL	CD4+ T Cell	-	Nathan-2022-Nature
Nathan2022Nature	10.1038/s41586-022-04713-1	Cell-type-specific eQTL	CD8+ T Cell	-	Nathan-2022-Nature
Nathan2022Nature	10.1038/s41586-022-04713-1	Cell-type-specific eQTL	T Cell	CD4+ State	Nathan-2022-Nature
Nathan2022Nature	10.1038/s41586-022-04713-1	Cell-type-specific eQTL	T Cell	CD8+ State	Nathan-2022-Nature
Nathan2022Nature	10.1038/s41586-022-04713-1	Cell-type-specific eQTL	T Cell	Treg State	Nathan-2022-Nature
Nathan2022Nature	10.1038/s41586-022-04713-1	Cell-type-specific eQTL	T Cell	Tuberculosis	Nathan-2022-Nature
Natri2023biorxiv	10.1101/2023.03.17.533161	Cell-type-specific eQTL	Endothelial Cell (Endo)	Aerocyte Capillary	Natri-2023-bioRxiv
Natri2023biorxiv	10.1101/2023.03.17.533161	Cell-type-specific eQTL	Endothelial Cell (Endo)	Arteriole	Natri-2023-bioRxiv
Natri2023biorxiv	10.1101/2023.03.17.533161	Cell-type-specific eQTL	Endothelial Cell (Endo)	General Capillary	Natri-2023-bioRxiv
Natri2023biorxiv	10.1101/2023.03.17.533161	Cell-type-specific eQTL	Endothelial Cell (Endo)	Lymphatic	Natri-2023-bioRxiv
Natri2023biorxiv	10.1101/2023.03.17.533161	Cell-type-specific eQTL	Endothelial Cell (Endo)	Systemic Venous	Natri-2023-bioRxiv
Natri2023biorxiv	10.1101/2023.03.17.533161	Cell-type-specific eQTL	Endothelial Cell (Endo)	Venule	Natri-2023-bioRxiv
Natri2023biorxiv	10.1101/2023.03.17.533161	Cell-type-specific eQTL	Epithelial	Pulmonary Alveolar Type I	Natri-2023-bioRxiv
Natri2023biorxiv	10.1101/2023.03.17.533161	Cell-type-specific eQTL	Epithelial	Pulmonary Alveolar Type II	Natri-2023-bioRxiv
Natri2023biorxiv	10.1101/2023.03.17.533161	Cell-type-specific eQTL	Epithelial	Basal	Natri-2023-bioRxiv
Natri2023biorxiv	10.1101/2023.03.17.533161	Cell-type-specific eQTL	Epithelial	Ciliated	Natri-2023-bioRxiv
Natri2023biorxiv	10.1101/2023.03.17.533161	Cell-type-specific eQTL	Epithelial	Ciliated Differentiation	Natri-2023-bioRxiv
Natri2023biorxiv	10.1101/2023.03.17.533161	Cell-type-specific eQTL	Epithelial	KRT5-KRT17+	Natri-2023-bioRxiv
Natri2023biorxiv	10.1101/2023.03.17.533161	Cell-type-specific eQTL	Epithelial	Proliferating	Natri-2023-bioRxiv
Natri2023biorxiv	10.1101/2023.03.17.533161	Cell-type-specific eQTL	Epithelial	Secretory-SCGB1A1+MUC5B+	Natri-2023-bioRxiv
Natri2023biorxiv	10.1101/2023.03.17.533161	Cell-type-specific eQTL	Epithelial	Secretory-SCGB1A1+SCGB3A2+	Natri-2023-bioRxiv
Natri2023biorxiv	10.1101/2023.03.17.533161	Cell-type-specific eQTL	Epithelial	Secretory-SCGB3A2+	Natri-2023-bioRxiv
Natri2023biorxiv	10.1101/2023.03.17.533161	Cell-type-specific eQTL	Epithelial	Transitional AT2	Natri-2023-bioRxiv
Natri2023biorxiv	10.1101/2023.03.17.533161	Cell-type-specific eQTL	Alveolar Macrophages	-	Natri-2023-bioRxiv
Natri2023biorxiv	10.1101/2023.03.17.533161	Cell-type-specific eQTL	B Cell	-	Natri-2023-bioRxiv
Natri2023biorxiv	10.1101/2023.03.17.533161	Cell-type-specific eQTL	CD4+ T Cell	-	Natri-2023-bioRxiv
Natri2023biorxiv	10.1101/2023.03.17.533161	Cell-type-specific eQTL	Mature NK T Cell	-	Natri-2023-bioRxiv
