gencodeId	geneSymbol	median	tissueSiteDetail	entrezGeneId	geneType	chromosome	start	end	strand	tss
ENSG00000006530.15	AGK	12.38	Adipose - Subcutaneous	55750	protein coding	chr7	141551189	141655244	+	141551189
ENSG00000008130.15	NADK	54.6693	Adipose - Subcutaneous	65220	protein coding	chr1	1751232	1780457	-	1780457
ENSG00000008294.20	SPAG9	48.2116	Adipose - Subcutaneous	9043	protein coding	chr17	50962174	51120865	-	51120865
ENSG00000008838.19	MED24	37.2571	Adipose - Subcutaneous	9862	protein coding	chr17	40019097	40061215	-	40061215
ENSG00000037474.14	NSUN2	42.2389	Adipose - Subcutaneous	54888	protein coding	chr5	6599239	6633291	-	6633291
ENSG00000041802.10	LSG1	28.121	Adipose - Subcutaneous	55341	protein coding	chr3	194640788	194672477	-	194672477
ENSG00000064012.21	CASP8	7.82352	Adipose - Subcutaneous	841	protein coding	chr2	201233443	201287711	+	201233443
ENSG00000064687.12	ABCA7	7.82374	Adipose - Subcutaneous	10347	protein coding	chr19	1040101	1065572	+	1040101
ENSG00000067334.13	DNTTIP2	17.682	Adipose - Subcutaneous	30836	protein coding	chr1	93866283	93879918	-	93879918
ENSG00000067836.12	ROGDI	7.97784	Adipose - Subcutaneous	79641	protein coding	chr16	4796968	4802950	-	4802950
ENSG00000070423.17	RNF126	45.524	Adipose - Subcutaneous	55658	protein coding	chr19	647526	663277	-	663277
ENSG00000070444.14	MNT	14.2031	Adipose - Subcutaneous	4335	protein coding	chr17	2384060	2401118	-	2401118
ENSG00000071189.21	SNX13	10.3511	Adipose - Subcutaneous	23161	protein coding	chr7	17790761	17940501	-	17940501
ENSG00000071894.16	CPSF1	56.3717	Adipose - Subcutaneous	29894	protein coding	chr8	144393229	144409349	-	144409349
ENSG00000072134.15	EPN2	16.6099	Adipose - Subcutaneous	22905	protein coding	chr17	19215615	19336715	+	19215615
ENSG00000073008.14	PVR	16.6402	Adipose - Subcutaneous	5817	protein coding	chr19	44643798	44663583	+	44643798
ENSG00000073060.15	SCARB1	62.458	Adipose - Subcutaneous	949	protein coding	chr12	124776856	124882668	-	124882668
ENSG00000073578.16	SDHA	103.942	Adipose - Subcutaneous	6389	protein coding	chr5	218241	256700	+	218241
ENSG00000074966.10	TXK	0.916461	Adipose - Subcutaneous	7294	protein coding	chr4	48066393	48134256	-	48134256
ENSG00000075415.12	SLC25A3	113.573	Adipose - Subcutaneous	5250	protein coding	chr12	98593591	98606379	+	98593591
ENSG00000080345.17	RIF1	9.66656	Adipose - Subcutaneous	55183	protein coding	chr2	151409883	151508013	+	151409883
ENSG00000080947.14	CROCCP3	3.7694	Adipose - Subcutaneous	114819	transcribed unprocessed pseudogene	chr1	16467436	16499257	-	16499257
ENSG00000085514.15	PILRA	12.6525	Adipose - Subcutaneous	29992	protein coding	chr7	100367530	100400099	+	100367530
ENSG00000087338.4	GMCL1	11.7181	Adipose - Subcutaneous	64395	protein coding	chr2	69829642	69881396	+	69829642
ENSG00000088888.17	MAVS	28.7365	Adipose - Subcutaneous	57506	protein coding	chr20	3846799	3876123	+	3846799
ENSG00000089693.10	MLF2	96.7829	Adipose - Subcutaneous	8079	protein coding	chr12	6747996	6767475	-	6767475
ENSG00000089916.17	GPATCH2L	8.50905	Adipose - Subcutaneous	55668	protein coding	chr14	76151916	76254342	+	76151916
ENSG00000090238.11	YPEL3	82.7149	Adipose - Subcutaneous	83719	protein coding	chr16	30092314	30096915	-	30096915
ENSG00000090316.15	MAEA	31.2895	Adipose - Subcutaneous	10296	protein coding	chr4	1289851	1340147	+	1289851
ENSG00000092010.14	PSME1	215.838	Adipose - Subcutaneous	5720	protein coding	chr14	24136158	24138967	+	24136158
ENSG00000099960.12	SLC7A4	2.18838	Adipose - Subcutaneous	6545	protein coding	chr22	21028718	21032840	-	21032840
ENSG00000100241.20	SBF1	36.9619	Adipose - Subcutaneous	6305	protein coding	chr22	50445000	50475024	-	50475024
ENSG00000100258.17	LMF2	105.085	Adipose - Subcutaneous	91289	protein coding	chr22	50502949	50507691	-	50507691
ENSG00000100304.12	TTLL12	20.72	Adipose - Subcutaneous	23170	protein coding	chr22	43166622	43187133	-	43187133
ENSG00000100376.11	FAM118A	11.4303	Adipose - Subcutaneous	55007	protein coding	chr22	45308968	45341955	+	45308968
ENSG00000100416.12	TRMU	11.6387	Adipose - Subcutaneous	55687	protein coding	chr22	46330875	46357340	+	46330875
ENSG00000100441.9	KHNYN	40.9187	Adipose - Subcutaneous	23351	protein coding	chr14	24429286	24441834	+	24429286
ENSG00000100697.14	DICER1	27.013	Adipose - Subcutaneous	23405	protein coding	chr14	95086228	95158010	-	95158010
ENSG00000100711.13	ZFYVE21	82.9621	Adipose - Subcutaneous	79038	protein coding	chr14	103715730	103733668	+	103715730
ENSG00000100726.14	TELO2	31.4175	Adipose - Subcutaneous	9894	protein coding	chr16	1493344	1510457	+	1493344
ENSG00000100804.18	PSMB5	85.0641	Adipose - Subcutaneous	5693	protein coding	chr14	23016543	23035230	-	23035230
ENSG00000100997.18	ABHD12	34.0546	Adipose - Subcutaneous	26090	protein coding	chr20	25294743	25390983	-	25390983
ENSG00000101216.10	GMEB2	11.8871	Adipose - Subcutaneous	26205	protein coding	chr20	63587602	63627041	-	63627041
ENSG00000101367.8	MAPRE1	88.2428	Adipose - Subcutaneous	22919	protein coding	chr20	32819893	32850405	+	32819893
ENSG00000102910.13	LONP2	24.4865	Adipose - Subcutaneous	83752	protein coding	chr16	48244296	48363122	+	48244296
ENSG00000103037.11	SETD6	14.8081	Adipose - Subcutaneous	79918	protein coding	chr16	58515479	58521181	+	58515479
ENSG00000103061.12	SLC7A6OS	8.40079	Adipose - Subcutaneous	84138	protein coding	chr16	68284503	68310946	-	68310946
ENSG00000103168.16	TAF1C	61.2083	Adipose - Subcutaneous	9013	protein coding	chr16	84177847	84187070	-	84187070
ENSG00000103245.13	NARFL	10.3904	Adipose - Subcutaneous	64428	protein coding	chr16	729753	741329	-	741329
ENSG00000103264.17	FBXO31	65.4597	Adipose - Subcutaneous	79791	protein coding	chr16	87326987	87392142	-	87392142
ENSG00000103550.13	KNOP1	4.57759	Adipose - Subcutaneous	400506	protein coding	chr16	19701934	19718235	-	19718235
ENSG00000104888.9	SLC17A7	10.2912	Adipose - Subcutaneous	57030	protein coding	chr19	49429401	49442360	-	49442360
ENSG00000105402.7	NAPA	75.2847	Adipose - Subcutaneous	8775	protein coding	chr19	47487637	47515240	-	47515240
ENSG00000105607.12	GCDH	15.5777	Adipose - Subcutaneous	2639	protein coding	chr19	12891026	12914207	+	12891026
ENSG00000106009.15	BRAT1	45.3551	Adipose - Subcutaneous	221927	protein coding	chr7	2537877	2555727	-	2555727
ENSG00000106392.10	C1GALT1	9.95496	Adipose - Subcutaneous	56913	protein coding	chr7	7156934	7248651	+	7156934
ENSG00000108654.13	DDX5	412.432	Adipose - Subcutaneous	1655	protein coding	chr17	64499616	64508199	-	64508199
ENSG00000108839.11	ALOX12	2.18653	Adipose - Subcutaneous	239	protein coding	chr17	6996065	7010736	+	6996065
ENSG00000110074.10	FOXRED1	19.0144	Adipose - Subcutaneous	55572	protein coding	chr11	126269055	126278131	+	126269055
ENSG00000111581.9	NUP107	15.514	Adipose - Subcutaneous	57122	protein coding	chr12	68686734	68745809	+	68686734
ENSG00000111737.11	RAB35	46.0347	Adipose - Subcutaneous	11021	protein coding	chr12	120095095	120117502	-	120117502
ENSG00000111907.20	TPD52L1	13.6011	Adipose - Subcutaneous	7164	protein coding	chr6	125119049	125264407	+	125119049
ENSG00000113971.19	NPHP3	29.3397	Adipose - Subcutaneous	27031	protein coding	chr3	132680609	132722442	-	132722442
ENSG00000114268.11	PFKFB4	1.44059	Adipose - Subcutaneous	5210	protein coding	chr3	48517684	48562015	-	48562015
ENSG00000116017.10	ARID3A	6.32779	Adipose - Subcutaneous	1820	protein coding	chr19	925781	975934	+	925781
ENSG00000116062.14	MSH6	11.3388	Adipose - Subcutaneous	2956	protein coding	chr2	47695530	47810101	+	47695530
ENSG00000116237.15	ICMT	39.7466	Adipose - Subcutaneous	23463	protein coding	chr1	6221193	6235972	-	6235972
